title,abstract,author_keywords
Utility of the END-IT Score to Predict the outcome of Childhood Status Epilepticus: A Retrospective Cohort Study.,"Scoring systems to predict outcomes in pediatric status epilepticus (SE) are limited. We sought to assess usefulness of the END-IT score in pediatric SE.We conducted a retrospective study at a tertiary hospital in New Delhi, India. Children aged 1 month-18 years who presented with seizure for ≥5 min/actively convulsing to emergency were enrolled. END-IT score was calculated and correlated with outcome at discharge using Pediatric Overall Performance Category (POPC) scale, in-hospital mortality, and progression to refractory and super-refractory SE (SRSE).We enrolled 140 children (mean age 5.8 years; 67.1% males). Seven children died and 15 had unfavorable outcomes. The predictive accuracy of END-IT at a cutoff of > 2: for unfavorable outcome (POPC score ≥3) was: sensitivity 0.73 (95% CI: 0.45-0.92), specificity 0.94 (95% CI: 0.89-0.98), PPV 0.61 (95% CI: 0.36-0.83), NPV 0.97 (95% CI: 0.92-0.99), positive likelihood ratio (13.09), F1 score (0.666); for death: sensitivity 0.86 (95% CI: 0.42-0.99), specificity 0.91 (95% CI: 0.85-0.95), PPV 0.33 (95% CI: 0.13-0.59), NPV 0.99 (95% CI: 0.96-1.00), F1 score (0.48); for RSE: sensitivity 0.80 (95%CI: 0.28-0.99), specificity 0.90 (95% CI: 0.83-0.94), PPV 0.22 (95% CI: 0.06-0.48) NPV 0.99 (95% CI: 0.96-1.00), F1 score (0.35); for SRSE: sensitivity 0.67 (95% CI: 0.22-0.96) specificity 0.75 (95% CI: 0.66-0.82), PPV 0.22 (95% CI: 0.06-0.48) NPV 0.98 (95% CI: 0.94-0.99), F1 score (0.33).We demonstrate utility of the END-IT score to predict short-term outcomes as well as progression to refractory and SRSE for the first time among children with SE.","['Epidemiologybased Mortality Score in Status Epilepticus', 'Status Epilepticus Severity Score', 'pediatrics', 'prognosis', 'refractory status epilepticus']"
Investigation of the combination of intratumoral and peritumoral radiomic signatures for predicting epidermal growth factor receptor mutation in lung adenocarcinoma.,"We investigated optimal peritumoral size and constructed predictive models for epidermal growth factor receptor (EGFR) mutation.A total of 164 patients with lung adenocarcinoma were retrospectively analyzed. Radiomic signatures for the intratumoral region and combinations of intratumoral and peritumoral regions (3, 5, and 7 mm) from computed tomography images were extracted using analysis of variance and least absolute shrinkage. The optimal peritumoral region was determined by radiomics score (rad-score). Intratumoral radiomic signatures with clinical features (IRS) were used to construct predictive models for EGFR mutation. Combinations of intratumoral and 3, 5, or 7 mm-peritumoral signatures with clinical features (IPRS3, IPRS5, and IPRS7, respectively) were also used to construct predictive models. Support vector machine (SVM), logistic regression (LR), and LightGBM models with five-fold cross-validation were constructed, and the receiver operating characteristics were evaluated. Area under the curve (AUC) of the training and test cohorts values were calculated. Brier scores (BS) and decision curve analysis (DCA) were used to evaluate the predictive models.The AUC values of the SVM, LR, and LightGBM models derived from IRS were 0.783 (95% confidence interval: 0.602-0.956), 0.789 (0.654-0.927), and 0.735 (0.613-0.958) for training, and 0.791 (0.641-0.920), 0.781 (0.538-0.930), and 0.734 (0.538-0.930) for test cohort, respectively. Rad-score confirmed that the 3 mm-peritumoral size was optimal (IPRS3), and AUCs values of SVM, LR, and lightGBM models derived from IPRS3 were 0.831 (0.666-0.984), 0.804 (0.622-0.908), and 0.769 (0.628-0.921) for training and 0.765 (0.644-0.921), 0.783 (0.583-0.921), and 0.796 (0.583-0.949) for test cohort, respectively. The BS and DCA of the LR and LightGBM models derived from IPRS3 were better than those from IRS.Accordingly, the combination of intratumoral and 3 mm-peritumoral radiomic signatures may be helpful for predicting EGFR mutations.","['EGFR mutation', 'machine learning', 'radiomic feature']"
Systemic Inflammation Is Associated With Longitudinal Changes in Cognitive Performance Among Urban Adults.,"<b>Objectives/Background:</b> Systemic inflammation can affect cognitive performance over time. The current study examined associations between systemic inflammation and cognitive performance among African Americans and Whites urban adults, stratifying by sex, and age group and by race. <b>Patients/Methods:</b> Among 1,555-1,719 White and African-American urban adults [Age<sub>base</sub>: 30-64y, 2004-2013, mean±SD follow-up time(y): 4.64 ± 0.93y], conducted linear mixed-effects regression models were conducted to test associations of inflammatory markers [C-reactive protein, Erythrocyte Sedimentation Rate (ESR), albumin, iron, and an inflammation composite score (ICS)] with longitudinal cognitive performance. <b>Results:</b> Among key findings, CRP was linked to poorer baseline mental status among younger women (≤50y, γ<sub>01</sub> = -0.03 ± 0.01<i>, p</i> = 0.002) and poorer attention in older women (>50y, γ<sub>01</sub> = -0.024 ± 0.007<i>, p</i> < 0.004) and African-Americans (γ<sub>01</sub> = -0.029 ± 0.008<i>, p</i> < 0.001). ESR was related to faster decline on verbal memory among older men (>50y, γ<sub>11</sub> = -0.008 ± 0.003, <i>P</i> = 0.009); with poorer performance on attention tests overall (γ<sub>01</sub> = -0.010 ± 0.003<i>, P</i> = 0.003) and among African-Americans (γ<sub>01</sub> = -0.013 ± 0.004<i>, P</i> = 0.002); on verbal fluency among older women (>50y,γ<sub>01</sub> = -0.037 ± 0.013<i>, P</i> = 0.004) and on executive function: overall (γ<sub>01</sub> = +0.62 ± 0.21<i>, P</i> = 0.004), older men (>50y, γ<sub>01</sub> = +1.69 ± 0.53<i>, P</i> = 0.001) and African-Americans (γ<sub>01</sub> = +0.84 ± 0.28, <i>P</i> = 0.002). Albumin was linked to slower attention decline among older men (>50y, γ<sub>11</sub> = +0.329 ± 0.103, <i>P</i> = 0.009), over-time improvement in executive function overall (γ<sub>11</sub> = -6.00 ± 2.26<i>, P</i> = 0.008), and better baseline psychomotor speed among African-Americans (γ<sub>01</sub> = +0.56 ± 0.19<i>, P</i> = 0.003). Finally, ICS predicted faster decline on visual memory/visuo-constructive abilities among older men (>50y, γ<sub>11</sub> = +0.17 ± 0.06<i>, p</i> = 0.003). <b>Conclusion:</b> In sum, strong associations between systemic inflammation and longitudinal cognitive performance were detected, largely among older individuals (>50y) and African-Americans. Randomized trials targeting inflammation are warranted.","['Creactive protein CRP', 'cognitive performance', 'inflammation', 'serum biomarkers', 'urban adults']"
The clinical role of microRNA-21 as a promising biomarker in the diagnosis and prognosis of colorectal cancer: a systematic review and meta-analysis.,"This systematic analysis aimed to investigate the value of microRNA-21 (miR-21) in colorectal cancer for multiple purposes, including diagnosis and prognosis, as well as its predictive power in combination biomarkers. Fifty-seven eligible studies were included in our meta-analysis, including 25 studies for diagnostic meta-analysis and 32 for prognostic meta-analysis. For the diagnostic meta-analysis of miR-21 alone, the overall pooled results for sensitivity, specificity, and area under the curve (AUC) were 0.64 (95% CI: 0.53-0.74), 0.85 (0.79-0.90), and 0.85 (0.81-0.87), respectively. Circulating samples presented corresponding values of 0.72 (0.63-0.79), 0.84 (0.78-0.89), and 0.86 (0.83-0.89), respectively. For the diagnostic meta-analysis of miR-21-related combination biomarkers, the above three parameters were 0.79 (0.69-0.86), 0.79 (0.68-0.87), and 0.86 (0.83-0.89), respectively. Notably, subgroup analysis suggested that miRNA combination markers in circulation exhibited high predictive power, with sensitivity of 0.85 (0.70-0.93), specificity of 0.86 (0.77-0.92), and AUC of 0.92 (0.89-0.94). For the prognostic meta-analysis, patients with higher expression of miR-21 had significant shorter disease-free survival [DFS; pooled hazard ratio (HR): 1.60; 95% CI: 1.20-2.15] and overall survival (OS; 1.54; 1.27-1.86). The combined HR in tissues for DFS and OS were 1.76 (1.31-2.36) and 1.58 (1.30-1.93), respectively. Our comprehensive systematic review revealed that circulating miR-21 may be suitable as a diagnostic biomarker, while tissue miR-21 could be a prognostic marker for colorectal cancer. In addition, miRNA combination biomarkers may provide a new approach for clinical application.","['colorectal cancer', 'diagnosis', 'metaanalysis', 'miR21', 'prognosis']"
Improvement of differential diagnosis of lung cancer by use of multiple protein tumor marker combinations.,"Differential diagnosis of non-small cell lung cancer (NSCLC) and small cell lung cancer (SCLC) in hospitalized patients is crucial for appropriate treatment choice.To investigate the relevance of serum tumor markers (STMs) and their combinations for the differentiation of NSCLC and SCLC subtypes.Between 2000 and 2003, 10 established STMs were assessed retrospectively in 311 patients with NSCLC, 128 with SCLC prior systemic first-line therapy and 51 controls with benign lung diseases (BLD), by automatized electrochemiluminescence immunoassay technology. Receiver operating characteristic (ROC) curves and logistic regression analyses were used to evaluate the diagnostic efficacy of both individual and multiple STMs with corresponding sensitivities at 90% specificity. Standards for Reporting of Diagnostic Accuracy (STARD guidelines) were followed.CYFRA 21-1 (cytokeratin-19 fragment), CEA (carcinoembryonic antigen) and NSE (neuron specific enolase) were significantly higher in all lung cancers vs BLD, reaching AUCs of 0.81 (95% CI 0.76-0.87), 0.78 (0.73-0.84), and 0.88 (0.84-0.93), respectively. By the three marker combination, the discrimination between benign and all malignant cases was improved resulting in an AUC of 0.93 (95% CI 0.90-0.96). In NSCLC vs. BLD, CYFRA 21-1, CEA and NSE were best discriminative STMs, with AUCs of 0.86 (95% CI 0.81-0.91), 0.80 (0.74-0.85), and 0.85 (0.79-0.91). The three marker combination also improved the AUC: 0.92; 95% CI 0.89-0.96). In SCLC vs. BLD, ProGRP (pro-gastrin-releasing peptide) and NSE were best discriminative STMs, with AUCs of 0.89 (95% CI 0.84-0.94) and 0.96 (0.93-0.98), respectively, and slightly improved AUC of 0.97 (95% CI 0.95-0.99) when in combination. Finally, discrimination between SCLC and NSCLC was possible by ProGRP (AUC 0.86; 95% CI 0.81-0.91), NSE (AUC 0.83; 0.78-0.88) and CYFRA 21-1 (AUC 0.69; 0.64-0.75) and by the combination of the 3 STMs (AUC 0.93; 0.91-0.96), with a sensitivity of 88% at 90% specificity.The results confirm the power of STM combinations for the differential diagnosis of lung cancer from benign lesions and between histological lung cancer subtypes.","['AUC', 'CA 125', 'CA 153', 'CA 199', 'CA 724', 'CEA', 'CYFRA 211', 'NSCLC', 'NSE', 'ProGRP', 'S100', 'SCC', 'SCLC', 'Tumor markers', 'differential diagnosis', 'histology', 'lung cancer', 'sensitivity', 'specificity']"
Validity and reliability of short-term heart-rate variability from disposable electrocardiography leads.,"Single-use electrocardiography (ECG) leads have been developed to reduce healthcare-associated infection. This study compared the validity and reliability of short-term heart rate variability (HRV) obtained from single-use disposable ECG leads.Thirty healthy subjects (33 ± 10 years; 9 females) underwent 5-min resting HRV assessments using disposable (single use) ECG cable and wire system (Kendall DL™ Cardinal Health) and a standard, reusable ECG leads (CardioExpress, Spacelabs Healthcare).Intraclass correlation coefficient (ICC) with 95% confidence interval (CI) between disposable and reusable ECG leads was for the time domain [R-R interval (ms); 0.99 (0.91, 1.00)], the root mean square of successive normal R-R interval differences (RMSSD) (ms); 0.91 (0.76, 0.96), the SD of normal-to-normal R-R intervals (SDNN) (ms); 0.91 (0.68, 0.97) and frequency domain [low-frequency (LF) normalized units (nu); 0.90 (0.79, 0.95), high frequency (HF) nu; 0.91 (0.80, 0.96), LF power (ms<sup>2</sup>); 0.89 (0.62, 0.96), HF power (ms<sup>2</sup>); 0.90 (0.72, 0.96)] variables. The mean difference and upper and lower limits of agreement between disposable and reusable leads for time- and frequency-domain variables were acceptable. Analysis of repeated measures using disposable leads demonstrated excellent reproducibility (ICC 95% CI) for R-R interval (ms); 0.93 (0.85, 0.97), RMSSD (ms); 0.93 (0.85, 0.97), SDNN (ms); 0.88 (0.75, 0.95), LF power (ms<sup>2</sup>); 0.87 (0.72, 0.94), and HF power (ms<sup>2</sup>); 0.88 (0.73, 0.94) with coefficient of variation ranging from 2.2% to 5% (<i>p</i> > 0.37 for all variables).Single-use Kendall DL™ ECG leads demonstrate a valid and reproducible tool for the assessment of HRV.","['ECG', 'disposable leads', 'heart rate variability', 'reproducibility', 'validity']"
Value of intravoxel incoherent motion in detecting and staging liver fibrosis: A meta-analysis.,"Liver fibrosis (LF) is a common pathological feature of all chronic liver diseases. With the accumulation of extracellular matrix in the fibrotic liver, true molecular water diffusion and perfusion-related diffusion are restricted. Intravoxel incoherent motion (IVIM) can capture the information on tissue diffusivity and microcapillary perfusion separately and reflect the fibrotic severity with diffusion coefficients.To investigate the diagnostic performance of IVIM in detecting and staging LF with histology as a reference standard.A comprehensive literature search was conducted to identify studies on the diagnostic accuracy of IVIM for assessment of histologically proven LF. The stages of LF were classified as F0 (no fibrosis), F1 (portal fibrosis without septa), F2 (periportal fibrosis with few septa), F3 (septal fibrosis), and F4 (cirrhosis) according to histopathological findings. Data were extracted to calculate the pooled sensitivity, specificity, positive and negative likelihood ratios, and diagnostic odds ratio, as well as the area under the summary receiver operating characteristic curve (AUC) in each group.A total of 12 studies with 923 subjects were included in this meta-analysis with 5 studies (<i>n</i> = 465) for LF ≥ F1, 9 studies (<i>n</i> = 757) for LF ≥ F2, 4 studies (<i>n</i> = 413) for LF ≥ F3, and 6 studies (<i>n</i> = 562) for LF = F4. The pooled sensitivity and specificity were estimated to be 0.78 (95% confidence interval: 0.73-0.82) and 0.81 (0.74-0.86) for LF ≥ F1 detection with IVIM; 0.82 (0.79-0.86) and 0.80 (0.75-0.84) for staging F2 fibrosis; 0.85 (0.79-0.90) and 0.83 (0.77-0.87) for staging F3 fibrosis, and 0.90 (0.84-0.94) and 0.75 (0.70-0.79) for detecting F4 cirrhosis, respectively. The AUCs for LF ≥ F1, F2, F3, F4 detection were 0.862 (0.811-0.914), 0.883 (0.856-0.909), 0.886 (0.865-0.907), and 0.899 (0.866-0.932), respectively. Moderate to substantial heterogeneity was observed with inconsistency index (<i>I</i> <sup>2</sup>) ranging from 0% to 77.9%. No publication bias was detected.IVIM is a noninvasive tool with good diagnostic performance in detecting and staging LF. Optimized and standardized IVIM protocols are needed to further improve its diagnostic accuracy in clinical practice.","['Diffusion magnetic resonance imaging', 'Diffusion weight imaging', 'Intravoxel incoherent motion', 'Liver cirrhosis', 'Liver fibrosis', 'Metaanalysis']"
Effect of lifestyle intervention on the reproductive endocrine profile in women with polycystic ovarian syndrome: a systematic review and meta-analysis.,"Polycystic ovarian syndrome (PCOS) affects 18-22% of women at reproductive age. We conducted a systematic review and meta-analysis evaluating the expected benefits of lifestyle (exercise plus diet) interventions on the reproductive endocrine profile in women with PCOS. Potential studies were identified by systematically searching PubMed, CINAHL and the Cochrane Controlled Trials Registry (1966-April 30, 2013) systematically using key concepts of PCOS. Significant improvements were seen in women receiving lifestyle intervention vs usual care in follicle-stimulating hormone (FSH) levels, mean difference (MD) 0.39 IU/l (95% CI 0.09 to 0.70, P=0.01), sex hormone-binding globulin (SHBG) levels, MD 2.37 nmol/l (95% CI 1.27 to 3.47, P<0.0001), total testosterone levels, MD -0.13 nmol/l (95% CI -0.22 to -0.03, P=0.008), androstenedione levels, MD -0.09 ng/dl (95% CI -0.15 to -0.03, P=0.005), free androgen index (FAI) levels, MD -1.64 (95% CI -2.94 to -0.35, P=0.01) and Ferriman-Gallwey (FG) score, MD -1.01 (95% CI -1.54 to -0.48, P=0.0002). Significant improvements were also observed in women who received exercise-alone intervention vs usual care in FSH levels, MD 0.42 IU/l (95% CI 0.11 to 0.73, P=0.009), SHBG levels, MD 3.42 nmol/l (95% CI 0.11 to 6.73, P=0.04), total testosterone levels, MD -0.16 nmol/l (95% CI -0.29 to -0.04, P=0.01), androstenedione levels, MD -0.09 ng/dl (95% CI -0.16 to -0.03, P=0.004) and FG score, MD -1.13 (95% CI -1.88 to -0.38, P=0.003). Our analyses suggest that lifestyle (diet and exercise) intervention improves levels of FSH, SHBG, total testosterone, androstenedione and FAI, and FG score in women with PCOS.","['exercise', 'female reproduction', 'folliclestimulating hormone', 'insulin resistance', 'luteinizing hormone', 'polycystic ovarian syndrome']"
Canonical Correlation Between Self-Care Agency and Health-Related Self-Efficacy with Chronic Viral Hepatitis Patients.,"The purpose of this study was to examine the relationship between self-care agency and health self-efficacy measures, in patients with viral hepatitis.Data were collected from 116 outpatients over the age of 19 years who were diagnosed with viral hepatitis between February 20, 2019 and April 30, 2019. This study used the Appraisal of Self-care Agency Scale-Revised and the Health Self-Efficacy measures. Descriptive statistics, Pearson's correlation coefficients, and canonical correlations were used during data analysis [SPSS version 25.0 for Windows (SPSS, Chicago, IL, USA)].The first canonical correlation coefficient was 0.65 (Wilks' λ = 0.44, F = 5.63, <i>p</i> < 0.001) and the second was 0.42 (Wilks' λ = 0.76, F = 3.08, <i>p</i> = .001). The first variate indicated a higher perception of having power for self-care (0.85) and developing power for self-care (0.92), and this was related to exercise (0.66), illness (0.76), emotion (0.75), nutrition (0.81), stress (0.60), and health practice (0.85). The second variate indicated a higher perception of having power for self-care (0.42), whilst lacking power for self-care (-0.82), was related to illness (0.35) and stress (0.72).Nursing interventions and education aimed at enhancing the self-care of viral hepatitis patients are needed to assist patients to improve their health care behaviors.","['health', 'hepatitis', 'selfcare']"
The effectiveness of remote delivered intervention for loneliness reduction in older adults: A systematic review and meta-analysis.,"Remotely delivered intervention is widely applied to loneliness treatment in older adults, but the effect is controversial. This study aimed to evaluate the effects of remotely delivered intervention on loneliness using a systematic review and meta-analysis.The PubMed, the Cochrane Central Register of Controlled Trials, EMBASE, CINAHL (EBSCO), PsycINFO (EBSCO) databases were searched for studies, the search ended on 7 July 2021. Thirteen randomized controlled trials of remotely delivered intervention compared with usual care, brief contact, or no intervention for loneliness were included. A random-effects model measured estimation of loneliness reduction. Furthermore, standardized mean differences (SMDs), 95% confidence intervals (CIs), publication bias, and heterogeneity were calculated. Subgroup analysis was used to explore the factors that might affect the treatment effects.The evidence of remotely delivered intervention on loneliness reduction was certain (SMD = -0.41 [95% CI, -0.70 to -0.13]). Media subgroup analysis supported the effectiveness of intervention delivered by video call (SMD = -0.54 [95% CI, -0.83 to -0.25]); treatment strategy subgroup analysis found evidence to support the effectiveness of increasing social support and maladaptive social cognition treatment strategy (SMD = -0.47 [95% CI, -0.77 to -0.18] and SMD = -1.04 [95% CI, -1.98 to -0.10], respectively); participants subgroup analysis shown the effectiveness of intervention for older adults living in LTC and social isolation (SMD = -1.40 [95% CI, -2.43 to -0.36] and SMD = -0.55 [95% CI, -0.74 to -0.36], respectively); group format subgroup analysis testified the effectiveness of intervention carried out in individual format (SMD = -0.39 [95% CI, -0.71 to -0.07]); measurement time points subgroup analysis found the positive effect of intervention at 3 months and 3 to 6 months stage (SMD = -0.33 [95% CI, -0.52 to -0.14] and SMD = -0.32 [95% CI, -0.57 to -0.07], respectively). Significant publication bias was detected (<i>p</i> < 0.05), and the heterogeneity of the studies was substantial.This systematic review and meta-analysis demonstrate that remotely delivered intervention can reduce loneliness in older adults, and it appears to be affected by media type, treatment strategy, participants characteristics, group format, and measurement time points.","['loneliness', 'metaanalysis', 'older adults', 'remote delivered intervention', 'systematic review']"
Prospective associations of age at complementary feeding and exclusive breastfeeding duration with body mass index at 5-6 years within different risk groups.,"Children with overweight or obesity are at risk for developing obesity in adulthood. Certain maternal characteristics, such as ethnicity, education, body mass index (BMI) or neighbourhood, are determinants for childhood overweight risk. There are large variations in how mothers differing in these characteristics feed their infants. Therefore, associations of age at complementary feeding, exclusive breast feeding duration with childhood overweight may differ in these groups. Understanding these associations would be essential to develop overweight prevention strategies.The objective of this study is to study the associations of age at complementary feeding, exclusive breastfeeding duration with BMI-standard deviation score (SDS) at 5-6 years within risk groups.Using data from the Amsterdam Born Children and their Development study, a population-based birth cohort (n = 4495), we formed groups of children at varying risk of overweight according to maternal characteristics of ethnicity, education, pre-pregnancy BMI and neighbourhood. Linear and logistic regression analyses were conducted.Complementary feeding after 5 months of age was associated with lower BMI-SDS in children of mothers of Dutch ethnicity (B: -0.12; 95% CI: -0.21, -0.04), medium-level education (-0.19; -0.30, -0.08), normal BMI (-0.08; -0.16, -0.01) and high-risk neighbourhood (-0.16; -0.29, -0.02). Compared with exclusive breastfeeding for <3 months, exclusive breastfeeding for ≥6 months was associated with lower BMI-SDS in groups of medium-level education (-0.28; 0.44, -0.11), normal BMI (-0.18; -0.29, -0.08) and medium-risk (-0.18; -0.33, -0.04) and high-risk (-0.22; -0.42, -0.02) neighbourhoods.Associations between infant feeding practices and childhood BMI may differ between risk groups, implying that overweight prevention strategies should be group-specific.","['BMI', 'Breastfeeding', 'childhood overweight', 'complementary feeding', 'weaning']"
"The relationship between intake of fruits, vegetables and dairy products with overweight and obesity in a large sample in Iran: Findings of STEPS 2016.","The present study aimed to investigate the association between fruits and vegetables (FVs) and dairy product intake with body weight based on the data from the nationwide Stepwise approach to surveillance (STEPS) survey in Iran.STEPS is a national-based cross-sectional study conducted on 3,0541 people selected by stratified cluster random sampling in Iran from April to November 2016. The outcome of the current study was body mass index (BMI) which was classified as normal weight, underweight, overweight, and obese. Also, as exposure variables, dietary intakes of fruits, vegetables and dairy products were extracted from the STEPS questionnaires. Multinomial logistic regression was used to evaluate the association between dairy products, FVs consumption, and BMI category in the crude and adjusted models.In the adjusted model, we observed 41% [odd ratio (OR) = 0.59; 95% confidence intervals (CI): 0.50, 0.68, P < 0.001], 27% (OR = 0.73; 95% CI: 0.62, 0.84, <i>P</i> < 0.001), and 26% (OR = 0.74; 95% CI: 0.63, 0.87, <i>P</i> < 0.001) lower odds of being overweight, and 46% (OR = 0.54; 95% CI: 0.46, 0.64, <i>P</i> < 0.001), 29% (OR = 0.71; 95% CI: 0.60, 0.84, <i>P</i> < 0.001), and 21% (OR = 0.79; 95% CI: 0.65, 0.95, <i>P</i> = 0.014) decrease in obesity odds among the participants who consumed 1, 2, and more than 2 servings of fruits per day in comparison to less than one serving, respectively. Also, we observed participants who consumed 1, 2, and more than 2 servings in comparison to less than one serving of dairy products per day had 31% (OR = 0.69; 95% CI: 0.58, 0.81, <i>P</i> < 0.001), 23% (OR = 0.77; 95 %CI: 0.65, 0.91, <i>P</i> = 0.002), and 21% (OR = 0.79; 95% CI: 0.67, 0.94, <i>P</i> = 0.011) lower odds of being overweight and 47% (OR = 0.53; 95% CI: 0.44, 0.64, <i>P</i> < 0.001), 36% (OR = 0.64; 95% CI: 0.53, 0.77, <i>P</i> < 0.001), and 32% (OR = 0.68; 95% CI: 0.56, 0.83, <i>P</i> < 0.001) lower odds of obesity, respectively. In addition, compared to participants who consumed less than 2 servings of vegetables per day, participants who consumed 2, 3, and more than 3 servings had 40% (OR = 0.60; 95% CI: 0.47, 0.76, <i>P</i> < 0.001), 29% (OR = 0.71; 95% CI: 0.56, 0.90, <i>P</i> = 0.006), and 26% (OR = 0.74; 95% CI: 0.57, 0.96, <i>P</i> = 0.027) lower odds of being overweight, respectively. Furthermore, we observed 36% lower odds of obesity among participants who ate 2 servings of vegetables per day compared to less than 2 serving (OR = 0.64; 95% CI: 0.49, 0.84, <i>P</i> = 0.002).Our findings showed that intake of FVs and dairy products is associated with a healthier weight status in adults. Further studies are needed to confirm these findings.","['STEPS', 'dairy', 'fruits', 'obesity', 'overweight', 'vegetable']"
Biomechanical testing of a modified knotless transscleral suture fixation technique: an <i>ex vivo</i> study.,"To investigate the safety and effectiveness of a modified transscleral suture through <i>ex vivo</i> tests.<i>Ex vivo</i> tests were performed in full-thickness porcine scleral pieces using modified knotless transscleral zigzag-shaped suture (Z-suture) fixation technology. The minimum traction force required to loosen or rupture the suture was assessed. The effects of different polypropylene sutures (10-0, 8-0), different suture spans (2.0, 3.0, 4.0 mm), different passes (3, 4, 5 passes), and scleral grooves were investigated.The average minimum traction forces required to loosen 10-0 polypropylene sutured for 3.0 mm with a suture span of 3, 4, and 5 passes, were 0.18 (0.15-0.18), 0.22 (0.21-0.22), and 0.37 (0.37-0.37) N, respectively. The maximum traction force to prevent the suture from rupturing for the 10-0 polypropylene suture was 0.37-0.41 N in the sclera. The average of the minimum traction forces required to loosen the 8-0 polypropylene sutured with 5 passes and spanning 2.0, 3.0, and 4.0 mm were 0.37 (0.3 -0.39), 0.42 (0.42-0.45), and 0.50 (0.50-0.51) N, respectively, which were 14-28% higher than that of the 10-0 polypropylene suture under same conditions (all P values <0.01). In addition, there was no statistical difference (P=0.3258) for the 8-0 polypropylene suture used with a 3.0-mm suture span and 5 passes between conditions with or without scleral grooves.The minimum traction force required to loosen or rupture the suture in the sclera was associated with suture specification, suture span, and the number of passes, but was uncorrelated with double scleral grooves. The 8-0 polypropylene suture with double scleral grooves may be a more favorable choice for knotless transscleral fixation.","['Biomechanical test', 'Zsuture', 'modified surgery', 'transscleral fixation']"
Neuropsychological Performance Among Individuals at Clinical High-Risk for Psychosis vs Putatively Low-Risk Peers With Other Psychopathology: A Systematic Review and Meta-Analysis.,"Youth at clinical high-risk (CHR) for psychosis present with neuropsychological impairments relative to healthy controls (HC), but whether these impairments are distinguishable from those seen among putatively lower risk peers with other psychopathology remains unknown. We hypothesized that any excess impairment among CHR cohorts beyond that seen in other clinical groups is minimal and accounted for by the proportion who transition to psychosis (CHR-T).We performed a systematic review and meta-analysis of studies comparing cognitive performance among CHR youth to clinical comparators (CC) who either sought mental health services but did not meet CHR criteria or presented with verified nonpsychotic psychopathology.Twenty-one studies were included representing nearly 4000 participants. Individuals at CHR showed substantial cognitive impairments relative to HC (eg, global cognition: g = -0.48 [-0.60, -0.34]), but minimal impairments relative to CC (eg, global cognition: g = -0.13 [-0.20, -0.06]). Any excess impairment among CHR was almost entirely attributable to CHR-T; impairment among youth at CHR without transition (CHR-NT) was typically indistinguishable from CC (eg, global cognition, CHR-T: g = -0.42 [-0.64, -0.19], CHR-NT: g = -0.09 [-0.18, 0.00]; processing speed, CHR-T: g = -0.59 [-0.82, -0.37], CHR-NT: g = -0.12 [-0.25, 0.07]; working memory, CHR-T: g = -0.42 [-0.62, -0.22], CHR-NT: g = -0.03 [-0.14, 0.08]).Neurocognitive impairment in CHR cohorts should be interpreted cautiously when psychosis or even CHR status is the specific clinical syndrome of interest as these impairments most likely represent a transdiagnostic vs psychosis-specific vulnerability.","['clinical staging', 'developmental psychopathology', 'neurocognitive', 'schizophrenia', 'transdiagnostic']"
